purchase_date,store_location,product_category,price,customer_age,customer_rating
2024-01-14,Austin,Mobile,$682.27,62.0,4.0
2024-04-15,Seattle,Audio,$132.17,43.0,3.0
2024-02-23,Austin,Accessories,$155.73,25.0,5.0
2024-04-12, Austin ,Computers,"$1,513.50",34.0,3.0
2024-03-18,Chicago,Mobile,$733.30,18.0,5.0
2024-04-12, Austin ,Accessories,$97.45,18.0,3.0
2024-05-02,New York,Accessories,$83.46,27.0,1.0
2024-01-19,austin,Mobile,"$1,352.55",54.0,N/A
2024-03-18,austin,Computers,$631.60,25.0,3.0
2024-01-25,Chicago,Audio,$101.31,35.0,3.0
2024-02-01,New York,Mobile,337.62,22.0,5.0
2024-06-12, Austin ,Mobile,$361.93,32.0,2.0
2024-03-02,New York,Accessories,$74.46,48.0,5.0
2024-02-04,CHICAGO,Accessories,$59.13,81.0,3.0
2024-06-14, Chicago,Audio,$104.85,35.0,missing
2024-02-27,Seattle,Computers,"$1,394.93",18.0,2.0
2024-04-08,austin,Audio,$106.24,40.0,missing
2024-04-02, Chicago,Mobile,1042.58,69.0,4.0
2024-03-27, Austin ,Audio,105.29,51.0,3.0
2024-02-26, Chicago,Computers,"$1,348.17",20.0,5.0
2024-02-02,CHICAGO,Computers,"$1,424.54",42.0,5.0
2024-04-16,Seattle,Accessories,75.16,19.0,4.0
2024-01-30,Chicago,Audio,$130.60,50.0,2.0
2024-01-17, Chicago,Computers,"$1,201.85",25.0,4.0
2024-03-28, Austin ,Audio,$145.18,46.0,3.0
2024-04-20,CHICAGO,Computers,"$1,296.69",22.0,1.0
2024-03-08, Austin ,Mobile,$347.10,20.0,5.0
2024-06-16,austin,Accessories,$25.12,36.0,2.0
2024-02-17,New York,Mobile,$806.56,18.0,missing
2024-04-22,Chicago,Computers,$305.26,18.0,4.0
2024-03-29, Chicago,Accessories,$34.96,-5,3.0
2024-01-13, Austin ,Computers,"$1,025.44",24.0,4.0
2024-03-23,CHICAGO,Mobile,$576.42,35.0,3.0
2024-05-09,Chicago,Computers,1125.12,18.0,3.0
2024-01-19, Austin ,Audio,$109.37,25.0,3.0
2024-02-03,New York,Mobile,$306.86,26.0,3.0
2024-02-02, Austin ,Mobile,$847.82,25.0,3.0
2024-06-27,Chicago,Accessories,116.47,41.0,5.0
2024-06-10,Austin,Computers,"$1,195.61",42.0,missing
2024-04-07, Chicago,Audio,$100.49,56.0,2.0
2024-01-13,New York,Accessories,$69.15,18.0,3.0
2024-06-04,new york,Audio,$123.88,48.0,4.0
2024-02-03, Chicago,Mobile,$680.55,36.0,5.0
2024-06-25, Austin ,Accessories,$52.87,49.0,3.0
2024-02-11,new york,Audio,$145.89,39.0,3.0
2024-05-28,Chicago,Computers,"$1,450.30",43.0,missing
2024-02-10,New York,Audio,$134.45,45.0,3.0
2024-05-06,Austin,Accessories,$45.60,28.0,1.0
2024-02-18,Chicago,Computers,"$1,114.57",36.0,2.0
2024-04-22, Chicago,Computers,$826.53,39.0,4.0
2024-02-18,new york,Audio,$107.92,45.0,3.0
2024-02-24, Austin ,Audio,$84.09,54.0,1.0
2024-06-28,New York,Audio,$95.85,29.0,4.0
2024-05-05,CHICAGO,Mobile,$495.72,24.0,5.0
2024-06-27,Chicago,Computers,"$1,426.14",36.0,N/A
2024-04-27,CHICAGO,Audio,$103.16,52.0,3.0
2024-03-29,Austin,Computers,916.21,18.0,1.0
2024-05-02,CHICAGO,Computers,$964.16,22.0,4.0
2024-05-09,Seattle,Computers,"$1,022.78",18.0,3.0
2024-03-03,CHICAGO,Audio,$122.43,49.0,3.0
2024-06-06,Chicago,Accessories,$97.65,25.0,3.0
2024-01-05,Seattle,Computers,"$1,618.65",28.0,5.0
2024-06-23,New York,Audio,$123.95,48.0,4.0
2024-04-10,CHICAGO,Accessories,$116.38,29.0,4.0
2024-01-30, Austin ,Accessories,$6.22,18.0,1.0
2024-03-21, Austin ,Accessories,$33.66,26.0,4.0
2024-06-21,Seattle,Computers,"$1,534.94",25.0,4.0
2024-03-05,new york,Accessories,$73.07,18.0,3.0
2024-04-09, Chicago,Computers,"$1,155.26",18.0,5.0
2024-04-30,CHICAGO,Mobile,"$1,182.29",18.0,N/A
2024-04-02,Seattle,Mobile,$509.62,70.0,3.0
2024-05-23, Austin ,Computers,"$1,577.54",34.0,3.0
2024-01-04,austin,Accessories,$77.65,28.0,4.0
2024-05-19,CHICAGO,Mobile,$462.64,25.0,1.0
2024-05-30,CHICAGO,Audio,$104.24,34.0,3.0
2024-06-11,austin,Computers,$805.52,43.0,2.0
2024-04-22,Chicago,Audio,$109.11,46.0,5.0
2024-01-08,Austin,Mobile,$380.11,18.0,5.0
2024-01-20,new york,Audio,126.48,37.0,2.0
2024-01-24,new york,Computers,"$1,283.48",38.0,4.0
2024-05-08,austin,Audio,$162.17,46.0,3.0
2024-02-01,Chicago,Audio,117.91,51.0,2.0
2024-01-23, Chicago,Audio,$93.18,35.0,3.0
2024-01-31,Chicago,Mobile,$407.22,91.0,4.0
2024-06-17,austin,Computers,$867.23,24.0,4.0
2024-05-17,new york,Mobile,$777.57,18.0,5.0
2024-02-15,Seattle,Mobile,$649.85,24.0,5.0
2024-02-09, Chicago,Computers,"$2,100.78",43.0,1.0
2024-06-17,austin,Mobile,$805.84,57.0,4.0
2024-02-03,new york,Audio,$176.98,68.0,4.0
2024-02-15,Chicago,Computers,1404.79,29.0,4.0
2024-02-24, Chicago,Mobile,$696.43,18.0,missing
2024-03-19,Chicago,Audio,98.14,54.0,4.0
2024-05-13, Austin ,Mobile,$528.39,18.0,missing
2024-01-15,new york,Accessories,$27.38,18.0,2.0
2024-06-06,CHICAGO,Accessories,$89.38,25.0,4.0
2024-05-05,Chicago,Audio,$152.82,44.0,2.0
2024-01-13,new york,Audio,$113.91,45.0,1.0
2024-04-16,Austin,Mobile,$349.86,18.0,3.0
2024-03-19, Chicago,Mobile,$529.68,18.0,2.0
2024-02-16,austin,Accessories,$102.29,30.0,5.0
2024-01-06,Austin,Mobile,"$1,076.35",20.0,3.0
2024-03-26,Seattle,Mobile,223.15,18.0,4.0
2024-05-31,austin,Audio,$128.76,46.0,1.0
2024-04-27,austin,Accessories,$109.72,56.0,3.0
2024-04-29,new york,Accessories,55.61,999,1.0
2024-01-15,Chicago,Computers,"$1,842.76",26.0,4.0
2024-01-13,austin,Audio,$128.32,38.0,4.0
2024-04-14,new york,Audio,$125.16,46.0,4.0
2024-04-23, Chicago,Computers,$621.66,44.0,3.0
2024-03-10,austin,Accessories,$66.59,53.0,4.0
2024-06-04,Austin,Audio,$131.39,39.0,5.0
2024-01-02,Austin,Computers,"$1,047.79",45.0,4.0
2024-05-03,Seattle,Mobile,$681.49,18.0,3.0
2024-06-27,Chicago,Mobile,$971.80,42.0,4.0
2024-06-27, Chicago,Accessories,$31.56,18.0,4.0
2024-04-10,Chicago,Computers,1422.51,43.0,5.0
2024-01-24, Austin ,Computers,"$1,072.96",41.0,4.0
2024-05-26,austin,Accessories,$94.59,18.0,3.0
2024-04-06,New York,Computers,532.79,42.0,N/A
2024-02-02,Chicago,Mobile,$221.91,18.0,4.0
2024-06-12,CHICAGO,Mobile,$753.14,41.0,3.0
2024-02-15,austin,Accessories,$109.08,63.0,2.0
2024-01-01,Chicago,Accessories,$63.79,36.0,4.0
2024-05-06, Chicago,Accessories,$25.76,18.0,2.0
2024-01-08, Chicago,Computers,"$1,517.95",18.0,3.0
2024-06-02, Austin ,Mobile,$435.95,18.0,5.0
2024-02-12,Seattle,Accessories,$11.95,22.0,5.0
2024-02-24,Seattle,Accessories,83.54,22.0,N/A
2024-01-06,Chicago,Audio,$126.51,32.0,4.0
2024-01-14,new york,Audio,$118.90,38.0,2.0
2024-01-27,Chicago,Audio,$95.87,41.0,3.0
2024-06-28,CHICAGO,Mobile,$914.74,50.0,3.0
2024-06-17,austin,Computers,"$1,733.20",32.0,4.0
2024-05-25,austin,Computers,"$1,606.50",19.0,N/A
2024-05-30, Austin ,Computers,"$1,035.22",23.0,2.0
2024-05-09, Chicago,Computers,"$1,556.77",32.0,5.0
2024-01-31,Seattle,Audio,$101.14,54.0,2.0
2024-04-29,Seattle,Audio,$124.69,24.0,1.0
2024-05-09,New York,Accessories,$230.74,26.0,4.0
2024-05-14,new york,Accessories,$15.78,32.0,N/A
2024-05-04,new york,Accessories,$45.55,21.0,1.0
2024-05-10,new york,Accessories,$40.23,18.0,4.0
2024-06-28, Chicago,Mobile,$654.52,29.0,3.0
2024-05-06,Austin,Computers,1134.27,26.0,3.0
2024-01-16,austin,Computers,$838.87,24.0,2.0
2024-01-31, Austin ,Computers,980.03,34.0,4.0
2024-04-22, Chicago,Audio,$125.41,37.0,1.0
2024-04-04, Austin ,Computers,$536.47,25.0,4.0
2024-06-14,Seattle,Audio,111.34,50.0,5.0
2024-04-11,austin,Mobile,$259.73,50.0,4.0
2024-03-09,austin,Audio,$132.74,38.0,5.0
2024-04-16, Chicago,Accessories,114.65,32.0,4.0
2024-05-01,Seattle,Computers,"$1,718.41",22.0,3.0
2024-02-27,austin,Computers,"$1,459.12",25.0,4.0
2024-04-04,new york,Audio,$111.86,59.0,3.0
2024-04-18,CHICAGO,Mobile,$433.77,52.0,3.0
2024-02-11, Chicago,Mobile,772.45,40.0,4.0
2024-05-24,CHICAGO,Computers,"$1,156.22",18.0,5.0
2024-03-27,Chicago,Audio,$125.11,44.0,missing
2024-06-19,CHICAGO,Accessories,$104.68,26.0,1.0
2024-06-14, Chicago,Mobile,$545.47,52.0,1.0
2024-06-04, Chicago,Audio,106.12,48.0,3.0
2024-01-14,CHICAGO,Mobile,$561.92,18.0,2.0
2024-04-18, Austin ,Mobile,$553.31,18.0,3.0
2024-02-27,new york,Mobile,"$1,361.59",24.0,3.0
2024-05-07,Seattle,Audio,$106.13,999,2.0
2024-04-21,Seattle,Mobile,"$1,188.38",18.0,2.0
2024-06-19,austin,Accessories,$47.55,81.0,2.0
2024-03-18, Austin ,Computers,"$1,302.04",37.0,2.0
2024-01-17, Austin ,Audio,107.25,27.0,3.0
2024-05-15,Austin,Accessories,$31.34,18.0,4.0
2024-06-16,Chicago,Computers,"$2,546.73",31.0,3.0
2024-01-06,Chicago,Audio,$108.39,49.0,4.0
2024-06-17,Seattle,Computers,2639.98,28.0,3.0
2024-01-19,austin,Mobile,$472.46,18.0,3.0
2024-01-19,Seattle,Mobile,$361.13,18.0,5.0
2024-06-24,austin,Accessories,$31.26,39.0,5.0
2024-02-25,Austin,Accessories,$40.11,29.0,4.0
2024-06-23,CHICAGO,Computers,$859.57,39.0,2.0
2024-01-10, Austin ,Audio,$141.08,51.0,3.0
2024-01-01,New York,Mobile,$600.66,77.0,4.0
2024-01-22, Chicago,Computers,$795.46,28.0,4.0
2024-01-03, Austin ,Audio,$137.89,37.0,4.0
2024-01-30,Chicago,Computers,2271.70,36.0,N/A
2024-05-13,Chicago,Accessories,$53.90,18.0,5.0
2024-01-26,Seattle,Computers,$977.92,29.0,5.0
2024-06-16,CHICAGO,Mobile,$702.54,18.0,4.0
2024-05-19,New York,Accessories,$55.30,71.0,5.0
2024-05-27,New York,Accessories,$67.81,47.0,2.0
2024-06-23,Austin,Audio,$137.68,36.0,3.0
2024-06-14,CHICAGO,Audio,$143.09,43.0,4.0
2024-04-21,austin,Mobile,$724.49,54.0,4.0
2024-06-11,Seattle,Mobile,$741.47,44.0,1.0
2024-05-20,Chicago,Accessories,$63.10,24.0,N/A
2024-06-23,new york,Audio,$89.76,48.0,4.0
2024-06-03,New York,Audio,$155.69,45.0,4.0
2024-01-12,CHICAGO,Computers,"$1,991.36",28.0,2.0
2024-01-11,austin,Audio,$102.30,46.0,4.0
2024-05-12,New York,Audio,$128.56,999,1.0
2024-04-18, Austin ,Audio,$106.85,34.0,4.0
2024-04-03,New York,Accessories,$36.05,45.0,3.0
2024-03-18,New York,Audio,$114.98,39.0,1.0
2024-06-17,austin,Mobile,$806.79,18.0,4.0
2024-03-07, Austin ,Mobile,$149.41,45.0,3.0
2024-06-16,CHICAGO,Audio,$115.62,59.0,missing
2024-05-03, Chicago,Accessories,$44.37,22.0,5.0
2024-06-28,Seattle,Audio,$155.81,47.0,5.0
2024-02-17,CHICAGO,Accessories,$140.30,18.0,3.0
2024-01-30,Austin,Computers,"$1,219.34",29.0,N/A
2024-06-02, Austin ,Accessories,$36.49,18.0,4.0
2024-04-24,Chicago,Accessories,$205.62,67.0,3.0
2024-05-23,Chicago,Audio,$120.41,31.0,5.0
2024-04-01,Austin,Audio,$132.82,46.0,3.0
2024-05-20,austin,Audio,$93.00,40.0,3.0
2024-05-21,Austin,Computers,973.96,36.0,4.0
2024-01-03,new york,Accessories,$116.92,18.0,4.0
2024-03-18,CHICAGO,Accessories,$69.53,57.0,5.0
2024-02-28,austin,Accessories,118.03,999,1.0
2024-02-06,austin,Accessories,$166.28,24.0,4.0
2024-04-21, Austin ,Accessories,83.54,26.0,3.0
2024-01-02,austin,Computers,"$1,397.83",23.0,5.0
2024-05-31, Chicago,Audio,$134.54,51.0,4.0
2024-04-27,Austin,Computers,"$1,755.58",36.0,3.0
2024-01-12,new york,Mobile,"$1,463.70",26.0,4.0
2024-03-21,New York,Audio,$132.25,55.0,3.0
2024-03-13,new york,Computers,"$1,863.33",28.0,missing
2024-02-26,new york,Computers,$937.48,31.0,5.0
2024-01-17,austin,Computers,"$2,027.41",18.0,5.0
2024-02-22,Austin,Computers,843.63,18.0,2.0
2024-06-25,Seattle,Audio,$101.84,43.0,missing
2024-01-21,New York,Audio,104.72,40.0,1.0
2024-04-01,Chicago,Mobile,$991.89,18.0,4.0
2024-02-14,Chicago,Mobile,$693.04,18.0,4.0
2024-05-10,Chicago,Accessories,$29.60,52.0,5.0
2024-03-20,New York,Accessories,$72.11,39.0,5.0
2024-05-07, Austin ,Computers,"$2,314.05",21.0,2.0
2024-03-06,Seattle,Audio,$106.75,35.0,3.0
2024-05-23,austin,Computers,"$1,497.05",24.0,1.0
2024-06-17, Chicago,Accessories,$36.12,22.0,5.0
2024-02-13,austin,Mobile,$683.48,18.0,4.0
2024-06-15, Austin ,Audio,$126.30,38.0,4.0
2024-05-31,Chicago,Audio,$107.92,68.0,3.0
2024-04-17,New York,Mobile,$429.62,33.0,4.0
2024-05-03, Austin ,Accessories,$37.08,21.0,2.0
2024-01-08,Chicago,Audio,$106.65,47.0,5.0
2024-06-15,New York,Accessories,$61.63,21.0,3.0
2024-03-17,austin,Audio,$111.67,67.0,3.0
2024-02-25, Chicago,Mobile,$492.14,83.0,5.0
2024-02-27,Chicago,Computers,$896.01,23.0,5.0
2024-05-31,austin,Accessories,$61.57,61.0,4.0
2024-01-13,Seattle,Computers,"$1,095.77",38.0,N/A
2024-06-04,Austin,Accessories,$70.27,20.0,N/A
2024-05-28,Austin,Computers,1115.65,999,4.0
2024-02-29,new york,Audio,$125.63,46.0,5.0
2024-03-20,Chicago,Audio,$161.23,48.0,3.0
2024-02-18, Austin ,Computers,$794.03,44.0,3.0
2024-01-09,Seattle,Audio,$80.80,66.0,1.0
2024-03-07,Seattle,Mobile,$865.88,76.0,4.0
2024-01-03, Chicago,Audio,$144.13,40.0,4.0
2024-03-14,Chicago,Audio,$147.19,-5,N/A
2024-01-29,Seattle,Audio,$131.32,31.0,5.0
2024-05-19,New York,Accessories,$163.61,19.0,5.0
2024-04-03, Austin ,Accessories,$132.21,69.0,2.0
2024-02-04,New York,Computers,1038.31,41.0,5.0
2024-02-12, Austin ,Audio,$157.21,28.0,5.0
2024-04-06,New York,Accessories,$25.50,23.0,4.0
2024-01-19,CHICAGO,Audio,$150.83,41.0,4.0
2024-04-06, Austin ,Computers,"$1,758.18",31.0,4.0
2024-06-18,Austin,Mobile,618.48,18.0,4.0
2024-06-28,New York,Audio,$140.02,54.0,4.0
2024-05-09,New York,Mobile,$202.82,44.0,5.0
2024-01-28, Chicago,Computers,1393.80,28.0,3.0
2024-02-11,CHICAGO,Accessories,$54.83,29.0,4.0
2024-02-07,Austin,Accessories,$71.04,18.0,4.0
2024-01-15,new york,Audio,$76.04,41.0,3.0
2024-05-24,Seattle,Mobile,$572.13,49.0,4.0
2024-04-10, Austin ,Computers,"$1,554.01",27.0,1.0
2024-05-07,austin,Computers,"$1,090.24",24.0,5.0
2024-01-11,Chicago,Audio,$93.06,62.0,3.0
2024-04-19,Chicago,Mobile,$703.13,36.0,1.0
2024-03-04,Austin,Accessories,$151.91,44.0,5.0
2024-06-13,Austin,Accessories,$119.03,43.0,1.0
2024-06-08,austin,Computers,864.30,47.0,2.0
2024-01-08,new york,Computers,772.55,26.0,1.0
2024-03-20,Chicago,Audio,$144.61,40.0,1.0
2024-03-05,Austin,Mobile,$963.56,18.0,4.0
2024-04-30,CHICAGO,Mobile,$435.43,18.0,2.0
2024-04-29, Chicago,Mobile,$942.19,63.0,3.0
2024-01-05, Chicago,Accessories,$73.30,30.0,3.0
2024-05-02,austin,Computers,2575.33,33.0,3.0
2024-02-12,Chicago,Computers,$925.81,35.0,2.0
2024-04-27,new york,Accessories,$62.08,80.0,4.0
2024-02-27, Austin ,Audio,80.45,46.0,4.0
2024-05-18,Austin,Accessories,$61.33,57.0,3.0
2024-01-27,CHICAGO,Computers,"$1,070.91",31.0,4.0
2024-03-21,austin,Accessories,$25.54,45.0,5.0
2024-05-03,CHICAGO,Audio,$108.85,58.0,missing
2024-05-21,New York,Audio,$105.73,48.0,2.0
2024-02-05,austin,Computers,"$1,677.22",18.0,3.0
2024-05-02, Austin ,Audio,$177.59,38.0,5.0
2024-03-05,Chicago,Mobile,$774.93,70.0,2.0
2024-05-07, Austin ,Mobile,"$1,055.76",30.0,5.0
2024-03-19,CHICAGO,Mobile,$428.50,56.0,4.0
2024-01-04,CHICAGO,Audio,124.66,45.0,4.0
2024-05-04,Chicago,Computers,$643.44,28.0,N/A
2024-01-29, Austin ,Audio,$147.16,32.0,4.0
2024-04-22,new york,Mobile,$282.18,18.0,3.0
2024-02-08, Chicago,Audio,$119.52,32.0,5.0
2024-01-05, Chicago,Computers,"$1,445.76",29.0,3.0
2024-02-01,austin,Accessories,$73.28,19.0,4.0
2024-06-10,New York,Mobile,$717.46,18.0,5.0
2024-04-18,CHICAGO,Audio,$182.63,-5,3.0
2024-03-19,austin,Computers,$981.11,18.0,4.0
2024-03-07, Chicago,Accessories,$92.23,18.0,5.0
2024-05-10, Chicago,Audio,$112.86,53.0,1.0
2024-03-12,austin,Computers,"$1,247.50",20.0,5.0
2024-06-04, Chicago,Accessories,$168.35,60.0,4.0
2024-03-14,Chicago,Accessories,72.19,35.0,1.0
2024-06-23,Chicago,Audio,$101.21,41.0,2.0
2024-03-13,CHICAGO,Audio,$98.67,53.0,3.0
2024-05-28,Austin,Accessories,$82.82,50.0,5.0
2024-03-05,new york,Mobile,$465.99,69.0,1.0
2024-03-12,new york,Accessories,$39.37,30.0,3.0
2024-01-17,new york,Mobile,"$1,388.08",51.0,4.0
2024-04-11,Seattle,Mobile,$836.90,18.0,missing
2024-04-28,new york,Audio,$142.14,27.0,5.0
2024-02-05,Seattle,Computers,$549.29,27.0,4.0
2024-04-13,austin,Computers,$511.81,24.0,4.0
2024-04-07, Chicago,Mobile,$489.16,18.0,2.0
2024-03-23,Austin,Computers,$938.73,22.0,3.0
2024-01-23, Chicago,Computers,$951.32,24.0,2.0
2024-02-08,New York,Audio,$120.20,44.0,5.0
2024-06-06,new york,Mobile,"$1,100.35",42.0,5.0
2024-05-08,New York,Computers,"$1,678.11",54.0,3.0
2024-06-27,Seattle,Audio,141.17,48.0,3.0
2024-05-24,CHICAGO,Mobile,$436.22,18.0,2.0
2024-05-22,new york,Computers,$822.31,30.0,5.0
2024-06-18,New York,Accessories,$67.98,43.0,4.0
2024-04-13, Austin ,Computers,"$1,282.13",36.0,4.0
2024-06-09, Austin ,Computers,$750.83,27.0,1.0
2024-06-26,Chicago,Mobile,$302.76,38.0,5.0
2024-04-01,New York,Accessories,72.30,-5,5.0
2024-04-13,New York,Audio,$119.71,52.0,missing
2024-04-10,Seattle,Accessories,$110.58,82.0,N/A
2024-02-19, Austin ,Audio,$132.44,53.0,3.0
2024-06-20,austin,Accessories,$41.72,50.0,2.0
2024-06-02,Chicago,Mobile,$616.60,18.0,1.0
2024-01-04,Austin,Accessories,$56.26,48.0,missing
2024-02-23,New York,Mobile,$539.72,18.0,3.0
2024-04-24,austin,Computers,$825.40,27.0,missing
2024-01-05,CHICAGO,Mobile,$862.66,38.0,3.0
2024-06-03,austin,Audio,$145.45,39.0,3.0
2024-01-20,new york,Computers,"$1,745.28",29.0,missing
2024-04-10,Seattle,Computers,"$1,522.66",31.0,5.0
2024-05-10,CHICAGO,Accessories,$79.88,18.0,3.0
2024-03-13,new york,Mobile,$722.65,18.0,5.0
2024-02-03,Austin,Mobile,573.06,56.0,4.0
2024-01-03, Austin ,Mobile,"$1,227.55",18.0,4.0
2024-06-01, Austin ,Mobile,$631.49,18.0,3.0
2024-06-26,Seattle,Mobile,"$1,588.27",18.0,missing
2024-01-05,Chicago,Computers,$947.59,41.0,4.0
2024-01-09,new york,Mobile,$697.86,19.0,4.0
2024-02-22,new york,Audio,$108.13,39.0,2.0
2024-05-04,New York,Computers,"$1,429.40",35.0,4.0
2024-01-08,CHICAGO,Mobile,"$1,706.49",34.0,5.0
2024-06-07,austin,Accessories,$33.12,28.0,3.0
2024-04-19,austin,Accessories,$68.93,18.0,3.0
2024-06-11,Austin,Mobile,$412.11,18.0,3.0
2024-02-02,new york,Accessories,79.47,18.0,3.0
2024-04-27, Chicago,Accessories,$57.94,57.0,1.0
2024-03-11,new york,Mobile,$370.17,41.0,3.0
2024-05-21,austin,Mobile,$313.48,18.0,1.0
